,Number,Name,Latitude,Longitude,District,Public,Total docks,danger_score,danger_score2
208,M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36923907,-71.11687034,Cambridge,Yes,21,25.0,75.0
209,T32008,Hawthorne Boulevard,42.5223714,-70.8903331,Salem,Yes,9,0.0,0.0
210,K32010,High St at Cypress St,42.32464511,-71.12135231,Brookline,Yes,15,26.0,165.0
211,B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,Boston,Yes,25,103.0,465.0
212,A32040,Honan Library,42.3602737,-71.12852452,Boston,Yes,15,68.0,282.0
213,D32060,Hood Park,42.38004535,-71.07304573,Boston,Yes,23,68.0,105.0
214,F32006,Hormel Stadium,42.40721644,-71.09651506,Medford,Yes,11,0.0,0.0
215,B32033,Huntington Ave at Mass Art,42.33658555,-71.09886996,Boston,Yes,15,138.0,597.0
216,M32044,Huron Ave At Vassal Lane,42.38165061,-71.13426981,Cambridge,Yes,19,0.0,5.0
217,C32089,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,Boston,Yes,15,35.0,132.0
218,E32013,Hyde Park Library,42.2568376,-71.122509,Boston,Yes,15,22.0,34.0
219,E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Boston,Yes,15,95.0,318.0
220,C32020,ID Building East,42.344827,-71.028664,Boston,Yes,17,6.0,44.0
221,C32021,ID Building West,42.344796,-71.031614,Boston,Yes,19,12.0,68.0
222,C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,Yes,25,124.0,538.0
223,M32062,Inman Square at Springfield St.,42.37426714,-71.10026479,Cambridge,Yes,25,0.0,0.0
224,A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,Boston,Yes,19,70.0,221.0
225,E32006,Jackson Square T Stop,42.32293117,-71.10014141,Boston,Yes,18,101.0,415.0
226,D32052,Jamaica St at South St,42.30604563,-71.11570891,Boston,Yes,19,69.0,173.0
227,K32004,JFK Crossing at Harvard St. / Thorndike St.,42.34655124,-71.12833211,Brookline,Yes,15,72.0,239.0
228,C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Boston,Yes,31,41.0,223.0
229,M32083,John Ahern Field at Kennedy-Longfellow School,42.36903567,-71.0863096,Cambridge,Yes,19,0.0,30.0
230,V32013,Kearins Playground,42.40616124,-71.06041655,Everett,Yes,11,0.0,2.0
231,M32032,Kendall Street,42.36356016,-71.08216792,Cambridge,Yes,17,1.0,220.0
232,M32004,Kendall T,42.36242784,-71.08495474,Cambridge,Yes,23,0.0,249.0
233,B32010,Kenmore Square,42.348706,-71.097009,Boston,Yes,26,237.0,536.0
234,M32065,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,Cambridge,Yes,19,0.0,31.0
235,T32006,Lafayette at Leach St,42.51142784,-70.89183301,Salem,Yes,11,0.0,0.0
236,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,Cambridge,Yes,15,0.0,69.0
237,B32015,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,Boston,Yes,15,129.0,573.0
238,N32008,Langley Lot,42.330528,-71.192861,Newton,Yes,11,0.0,0.0
239,B32058,Lansdowne T Stop,42.34734473,-71.10016808,Boston,Yes,27,134.0,513.0
240,D32061,Lenox St at Kendall St,42.33759485,-71.08255059,Boston,Yes,17,206.0,756.0
241,M32039,Lesley University,42.38674802,-71.11901879,Cambridge,Yes,15,0.0,0.0
242,A32057,Lewis Mall Wharf,42.36567871,-71.04030132,Boston,Yes,21,14.0,146.0
243,D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,Yes,19,100.0,313.0
244,M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,Cambridge,Yes,19,0.0,0.0
245,L32002,Linwood St at Minuteman Bikeway,42.40935396,-71.14906519,Arlington,Yes,11,0.0,0.0
246,A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,Yes,15,84.0,445.0
247,M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,Cambridge,Yes,19,79.0,274.0
248,S32013,Magoun Square at Trum Field,42.3977834,-71.10594004,Somerville,Yes,19,0.0,0.0
249,D32020,Main St at Austin St,42.375603,-71.064608,Boston,Yes,11,42.0,188.0
250,D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,Yes,19,70.0,111.0
251,F32001,Main St at Brooks Park,42.411709,-71.110444,Medford,Yes,11,0.0,0.0
252,D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Boston,Yes,15,44.0,202.0
253,M32080,Main Street/Albany Street/Technology Square,42.3629016,-71.0915669,Cambridge,Yes,23,0.0,151.0
254,G32001,Malden Center T Station,42.426541,-71.073179,Malden,Yes,11,0.0,0.0
255,G32003,Malden High School,42.42653766,-71.06393695,Malden,Yes,11,0.0,0.0
256,K32012,Marion St at Harvard St,42.34012243,-71.12070564,Brookline,Yes,15,0.0,259.0
257,E32012,Martha Eliot Health Center,42.324173,-71.10196,Boston,Yes,16,91.0,416.0
258,M32061,Mass Ave at Albany St,42.36135838,-71.09670274,Cambridge,Yes,18,0.0,193.0
259,M32056,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,Cambridge,Yes,19,0.0,0.0
260,C32063,Mass Ave T Station,42.34135616,-71.08336953,Boston,Yes,14,220.0,801.0
261,M32085,Mass Ave/Lafayette Square,42.36356499,-71.10044184,Cambridge,Yes,15,0.0,68.0
262,C32004,Massachusetts Ave at Columbus Ave,42.340835,-71.0816197,Boston,Yes,13,213.0,811.0
263,C32050,Mattapan Library,42.2773889,-71.09325,Boston,Yes,15,35.0,107.0
264,C32045,Mattapan T Stop,42.267902,-71.093641,Boston,Yes,15,26.0,53.0
265,A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Boston,Yes,33,20.0,114.0
266,A32044,Maverick St at Massport Path,42.36774122,-71.03335975,Boston,Yes,15,19.0,50.0
267,T32004,Mayor Salvo Path at Mill St,42.5180352,-70.89570075,Salem,Yes,11,0.0,0.0
268,C32112,Meaney Playground - Pleasant St at E Cottage St,42.31870275,-71.05889978,,Yes,17,81.0,309.0
269,F32002,Medford Sq - Riverside Ave at River St,42.417724,-71.108102,Medford,Yes,11,0.0,0.0
270,D32037,Medford St at Charlestown BCYF,42.38042947,-71.06055722,Boston,Yes,19,26.0,117.0
271,M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge,Yes,27,11.0,318.0
272,M32070,MIT Carleton St at Amherst St,42.36054174,-71.08669817,Cambridge,Yes,27,1.0,301.0
273,M32071,MIT Hayward St at Amherst St,42.36085937,-71.08551858,Cambridge,Yes,27,1.0,303.0
274,M32041,MIT Pacific St at Purrington St,42.3595732,-71.10129476,Cambridge,Yes,19,0.0,265.0
275,M32005,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,Cambridge,Yes,35,0.0,196.0
276,M32042,MIT Vassar St,42.35560121,-71.10394478,Cambridge,Yes,53,55.0,326.0
277,B32023,MLK Blvd at Washington St,42.32143814,-71.09126061,Boston,Yes,15,70.0,413.0
278,M32086,Morgan Ave at North First St,42.37197726,-71.07585847,Cambridge,Yes,23,6.0,167.0
279,C32103,Morton St at Gallivan Blvd,42.278747,-71.080286,Boston,Yes,15,33.0,136.0
280,M32043,Mt Auburn,42.37478629,-71.13320231,Cambridge,Yes,19,5.0,67.0
281,D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Boston,Yes,19,150.0,581.0
282,C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Boston,Yes,19,8.0,37.0
283,M32045,Museum of Science,42.36769018,-71.07116282,Cambridge,Yes,19,45.0,261.0
284,A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Boston,Yes,36,119.0,349.0
285,B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Boston,Yes,15,66.0,328.0
286,D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Boston,Yes,14,68.0,242.0
287,C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Boston,Yes,15,136.0,446.0
288,N32010,Newton Highlands T,42.32206566,-71.20637298,Newton,Yes,15,0.0,0.0
289,N32013,Newton Library,42.33620337,-71.20779455,Newton,Yes,13,0.0,0.0
290,W32007,Nichols Ave. at Watertown Greenway,42.36762049,-71.15656637,Watertown,Yes,12,0.0,56.0
291,N32002,Nonantum Library,42.36068456,-71.201462,Newton,Yes,15,0.0,0.0
292,T32015,North St at Liberty Hill Ave,42.52989965,-70.90614259,Salem,Yes,11,0.0,0.0
293,G32002,Northern Strand at Main St,42.42386,-71.067793,Malden,Yes,11,0.0,0.0
294,D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Boston,Yes,13,30.0,95.0
295,M32076,Old Morse Park at Putnam Ave,42.35766248,-71.10841334,Cambridge,Yes,15,23.0,216.0
296,B32061,One Beacon St,42.35847764,-71.0613513,Boston,Yes,16,201.0,462.0
297,B32036,One Brigham Circle,42.3339227,-71.10446509,Boston,Yes,15,129.0,382.0
298,M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,Cambridge,Yes,23,1.0,273.0
299,M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Cambridge,Yes,19,0.0,9.0
300,M32053,One Memorial Drive,42.36161932,-71.08043551,Cambridge,Yes,19,27.0,311.0
301,A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Boston,Yes,19,15.0,30.0
302,R32002,Orr Sq (Shirley Ave),42.40715656,-70.9927243,Revere,Yes,11,0.0,0.0
303,S32009,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Somerville,Yes,15,0.0,0.0
304,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Boston,Yes,27,105.0,278.0
305,A32008,Park Dr at Buswell St,42.347241,-71.105301,Boston,Yes,15,134.0,431.0
306,D32042,Park Plaza at Charles St S.,42.35182807,-71.06781138,Boston,Yes,19,186.0,556.0
307,Z32997,Parker St at Huntington Ave,42.33848849,-71.09261138,Boston,Yes,19,163.0,732.0
308,S32034,Perry Park,42.37927325,-71.10341903,Somerville,Yes,19,0.0,0.0
309,C32107,Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,Boston,Yes,19,51.0,244.0
310,V32009,Pope John High School,42.4203487,-71.04419768,Everett,Yes,15,0.0,0.0
311,M32029,Porter Square Station,42.387995,-71.119084,Cambridge,Yes,19,0.0,0.0
312,A32050,Porzio Park,42.36411904,-71.02876782,Boston,Yes,17,1.0,32.0
313,S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Somerville,Yes,15,0.0,0.0
314,C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,Boston,Yes,18,275.0,702.0
315,A32026,Purchase St at Pearl St,42.354659,-71.053181,Boston,Yes,19,166.0,407.0
316,L32001,Railroad Lot and Minuteman Bikeway,42.41606457,-71.15336637,Arlington,Yes,11,0.0,0.0
317,M32079,Raymond Park at Walden St,42.38736954,-71.12761001,Cambridge,Yes,19,0.0,1.0
318,R32006,Revere City Hall,42.40741,-71.0139,Revere,Yes,11,0.0,1.0
319,R32007,Revere Public Library,42.408088,-71.008942,Revere,Yes,11,0.0,1.0
320,M32036,Rindge Avenue - O'Neill Library,42.392766,-71.129042,Cambridge,Yes,19,0.0,0.0
321,A32056,Riverway at Brookline Ave,42.33661006,-71.1100468,Boston,Yes,25,89.0,349.0
322,M32035,Rogers St & Land Blvd,42.36644674,-71.07654601,Cambridge,Yes,19,20.0,205.0
323,C32047,Roslindale Village - South St,42.287072,-71.127754,Boston,Yes,15,33.0,79.0
324,C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Boston,Yes,15,33.0,78.0
325,E32014,Ross Playground,42.2645666,-71.1145523,Boston,Yes,19,6.0,44.0
326,D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,Yes,15,126.0,348.0
327,C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,Yes,23,151.0,563.0
328,B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Boston,Yes,10,75.0,367.0
329,B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Boston,Yes,26,204.0,732.0
330,E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Boston,Yes,15,105.0,300.0
331,T32012,Salem MBTA - Lower Level,42.523994,-70.89684,Salem,Yes,11,0.0,0.0
332,T32005,Salem MBTA - Washington at Federal St,42.52345239,-70.89611113,Salem,Yes,13,0.0,0.0
333,T32007 ,Salem State University - Bike Path at Loring Ave,42.50182399,-70.89478076,Salem,Yes,15,0.0,0.0
334,C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Boston,Yes,14,53.0,232.0
335,C32036,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,Boston,Yes,15,77.0,312.0
336,B32014,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,Boston,Yes,19,39.0,160.0
337,B32007,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,Boston,Yes,23,48.0,241.0
338,M32063,Sennott Park Broadway at Norfolk Street,42.36860524,-71.09930186,Cambridge,Yes,19,0.0,0.0
339,D32059,Shawmut Ave at Lenox St,42.33584613,-71.08038157,Boston,Yes,19,225.0,665.0
340,D32048,Shawmut Ave at Oak St W,42.34854543,-71.06559185,Boston,Yes,15,152.0,556.0
341,E32009,Shawmut T Stop,42.292917,-71.06575,Boston,Yes,19,60.0,209.0
342,T32003,Shetland Park - Congress at Peabody St,42.51836788,-70.88952363,Salem,Yes,11,0.0,0.0
343,M32047,Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405,Cambridge,Yes,19,3.0,298.0
344,D32032,Silber Way,42.349496,-71.10057592,Boston,Yes,19,139.0,464.0
345,M32069,Smith Pl at Wilson Rd,42.39239749,-71.15058332,Cambridge,Yes,19,0.0,0.0
346,A32006,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,Boston,Yes,15,40.0,177.0
347,S32001,Somerville City Hall,42.386844,-71.09812,Somerville,Yes,19,0.0,2.0
348,S32036,Somerville City Hall Annex,42.39189812,-71.09745376,Somerville,Yes,19,0.0,0.0
349,S32048,Somerville High School & Central Library,42.3864,-71.09601,Somerville,Yes,17,0.0,3.0
350,S32020,Somerville Hospital,42.39044622,-71.10856622,Somerville,Yes,15,0.0,0.0
351,C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Boston,Yes,15,28.0,119.0
352,A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Boston,Yes,15,202.0,764.0
353,A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Boston,Yes,47,165.0,448.0
354,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Boston,Yes,19,11.0,105.0
355,C32087,Spring St at Powell St,42.27748444,-71.16341468,Boston,Yes,19,12.0,29.0
356,K32007,St Mary's,42.34619708,-71.10728681,Brookline,Yes,15,136.0,415.0
357,B32063,St. Alphonsus St at Tremont St,42.33329255,-71.10124648,Boston,Yes,18,144.0,453.0
358,C32024,State Street at Channel Center,42.344137,-71.052608,Boston,Yes,19,54.0,307.0
359,D32041,Stony Brook T Stop,42.316966,-71.104374,Boston,Yes,19,96.0,293.0
360,D32049,Stuart St at Berkeley St,42.34954403,-71.07242074,Boston,Yes,19,167.0,677.0
361,D32011,Stuart St at Charles St,42.351146,-71.066289,Boston,Yes,18,176.0,559.0
362,D32053,Sullivan Square,42.38445226,-71.07514855,Boston,Yes,19,56.0,77.0
363,R32001,Sumner St at Shirley Ave,42.40833706,-70.99804848,Revere,Yes,11,0.0,0.0
364,A32013,Surface Rd at India St,42.358155,-71.052163,Boston,Yes,19,140.0,371.0
365,A32042,Surface Rd at Summer St,42.3529457,-71.05656401,Boston,Yes,27,179.0,465.0
366,V32007,Swan St. Park,42.41250451,-71.05842225,Everett,Yes,15,0.0,0.0
367,C32064,Sydney St at Carson St,42.32039374,-71.05355408,Boston,Yes,19,59.0,235.0
368,C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Boston,Yes,15,48.0,189.0
369,C32110,Talbot Ave T Station,42.29225148,-71.07797205,Boston,Yes,19,52.0,227.0
370,K32008,Tappan St at Brookline Hills MBTA,42.33137017,-71.12688361,Brookline,Yes,15,0.0,87.0
371,S32011,Teele Square,42.4008795,-71.12590793,Somerville,Yes,15,0.0,0.0
372,E32011,The Dimock Center,42.31930943,-71.09639924,Boston,Yes,16,87.0,374.0
373,A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Boston,Yes,15,19.0,157.0
374,C32028,The Lawn on D,42.344792,-71.044024,Boston,Yes,19,36.0,180.0
375,D32054,The Overlook at St. Gabriel's,42.34679008,-71.14549814,Boston,Yes,18,60.0,246.0
376,M32048,Third at Binney,42.36544486,-71.08277142,Cambridge,Yes,15,1.0,128.0
377,L32005,Thorndike Field at Minuteman Bikeway,42.40016805,-71.14456963,Arlington,Yes,11,0.0,0.0
378,C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,Yes,19,146.0,639.0
379,B32056,Tremont St at Hamilton Pl,42.35668335,-71.06166646,Boston,Yes,18,216.0,489.0
380,C32056,Tremont St at Northampton St,42.3384318,-71.0816905,Boston,Yes,19,216.0,774.0
381,C32060,Tremont St at W. Dedham St,42.34254914,-71.07421449,Boston,Yes,15,184.0,732.0
382,D32014,Tremont St at West St,42.354979,-71.063348,Boston,Yes,15,202.0,530.0
383,A32058,Tremont St. at Court St.,42.359322,-71.059624,,Yes,19,203.0,434.0
384,C32035,Troy Boston,42.343749,-71.062256,Boston,Yes,5,95.0,533.0
385,S32042,Trum Field @ Cedar St (Temp Winter Station),42.398444,-71.107833,Somerville,Yes,19,0.0,0.0
386,F32003,Tufts Sq - Main St at Medford St,42.401697,-71.106128,Medford,Yes,11,0.0,0.0
387,A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Boston,Yes,19,116.0,278.0
388,S32002,Union Square - Somerville,42.3796479,-71.09540476,Somerville,Yes,19,0.0,3.0
389,S32041,Union Square East,42.380078,-71.090098,Somerville,Yes,19,0.0,48.0
390,C32014,University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586,Boston,Yes,19,9.0,34.0
391,M32040,University Park,42.36264779,-71.10006094,Cambridge,Yes,19,0.0,151.0
392,A32053,Valenti Way at Haverhill St,42.36473899,-71.05934903,Boston,Yes,24,157.0,376.0
393,M32057,Vassal Lane at Tobin/VLUS,42.38536765,-71.13775671,Cambridge,Yes,19,0.0,4.0
394,M32050,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,Cambridge,Yes,19,0.0,43.0
395,T32017,Vinnin Square,42.48628785,-70.90166733,Salem,Yes,11,0.0,0.0
396,C32029,W Broadway at D St,42.3391085,-71.0514432,Boston,Yes,20,47.0,255.0
397,C32016,W Broadway at Dorchester St,42.33595898,-71.046229,Boston,Yes,17,36.0,168.0
398,C32102,Walnut Ave at School St,42.31242399,-71.09616905,Boston,Yes,19,47.0,285.0
399,D32021,Warren St at Chelsea St,42.371848,-71.060292,Boston,Yes,23,65.0,231.0
400,K32011,Washington Sq,42.33985827,-71.13421171,Brookline,Yes,15,6.0,162.0
401,S32043,Washington St @ New Washington St (Temp Winter Station),42.38103732,-71.08709779,Somerville,Yes,15,3.0,57.0
402,D32029,Washington St at Brock St,42.34895285,-71.16031677,Boston,Yes,15,43.0,148.0
403,N32001,Washington St at Crafts St,42.35389024,-71.19943707,Newton,Yes,11,0.0,0.0
404,C32005,Washington St at Lenox St,42.33509899,-71.07903779,Boston,Yes,15,241.0,637.0
405,B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Boston,Yes,19,224.0,623.0
406,C32006,Washington St at Rutland St,42.3385146,-71.07404083,Boston,Yes,27,198.0,651.0
407,C32038,Washington St at Talbot Ave,42.290333,-71.071806,Boston,Yes,17,52.0,197.0
408,N32014,Washington St at Walnut St,42.35145812,-71.20764971,Newton,Yes,11,0.0,0.0
409,D32002,Washington St at Waltham St,42.34157472,-71.0689044,Boston,Yes,15,111.0,610.0
410,C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,Boston,Yes,15,54.0,264.0
411,W32005,Watertown City Hall,42.36759308,-71.18751436,Watertown,Yes,11,0.0,0.0
412,W32002,Watertown Sq,42.36526032,-71.18573324,Watertown,Yes,15,0.0,0.0
413,N32006,Watertown St at Albemarle Rd,42.35410408,-71.21382214,Newton,Yes,11,0.0,0.0
414,V32014,Wellington MBTA,42.4023682,-71.07573182,Everett,Yes,19,0.0,4.0
415,B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,Boston,Yes,12,142.0,717.0
416,D32022,West End Park,42.36590788,-71.06446669,Boston,Yes,35,117.0,344.0
417,N32005,West Newton,42.3496005,-71.22627497,Newton,Yes,15,0.0,0.0
418,B32059,Whittier St Health Center,42.33286288,-71.09218862,Boston,Yes,19,167.0,617.0
419,D32040,Williams St at Washington St,42.306539,-71.107669,Boston,Yes,23,62.0,190.0
420,S32005,Wilson Square,42.38567579,-71.11412136,Somerville,Yes,15,0.0,0.0
